name,playcount,listeners
The Weeknd,1071467716,5167802
Radiohead,1321199312,8073873
Taylor Swift,3548085794,5801484
Kendrick Lamar,991441151,4957708
Ariana Grande,1052546877,4347738
Drake,1099434904,6584422
Kanye West,1463030613,7800560
Lady Gaga,993466702,7557903
"Tyler, The Creator",1006765165,4197818
Rihanna,573202347,8128552
A$AP Rocky,334778354,3306013
Sabrina Carpenter,599662448,3111551
Charli xcx,671732175,3640847
Bruno Mars,275084620,5064397
Lana Del Rey,1512661859,5116404
Billie Eilish,797962399,4095196
Tame Impala,385622709,4113043
PinkPantheress,281173423,2798108
Arctic Monkeys,903750624,6947455
Frank Ocean,742943788,4137383
Paramore,558747685,5488917
Doja Cat,444382589,3501291
Gorillaz,490016730,6708234
Justin Bieber,302169905,4637222
Fleetwood Mac,280545992,4744326
The Smiths,515557761,4935582
Mitski,622553426,3135067
Chappell Roan,312925531,2451657
Deftones,536453650,4102735
Travis Scott,655390619,3234529
The Marías,211675056,2344066
Linkin Park,711166249,6790663
The Neighbourhood,373334306,3824821
Coldplay,765470289,8948685
SZA,564918976,3392295
Playboi Carti,747397059,2399738
Childish Gambino,312450787,3687545
Djo,79292881,2158814
Future,438924409,3125283
Olivia Rodrigo,530939395,2981572
Clairo,329571775,2823041
Michael Jackson,335780659,6672402
Lil Uzi Vert,409426487,2637172
TV Girl,273390658,2723954
Beyoncé,676371704,6270096
Zara Larsson,69639003,2035624
Tate McRae,254254109,2167431
Nirvana,563710067,7394633
Lorde,427128007,3630078
The Beatles,1069889112,6390412